Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z,Datos_tmp_s,Datos_tmp_loc
26-10-2021 01:49:59,0.31,-0.41,-10.64,0,\N
26-10-2021 01:50:00,-0.42,0.17,-10.5,0,\N
26-10-2021 01:50:01,0.11,-0.32,-10.52,0,\N
26-10-2021 01:50:02,0.37,-0.2,-10.77,0,\N
26-10-2021 01:50:03,-0.41,0,-10.66,0,\N
26-10-2021 01:50:04,0.04,-0.02,-10.25,0,\N
26-10-2021 01:50:05,0.45,-0.35,-10.51,0,\N
26-10-2021 01:50:06,0.08,0.2,-10.31,0,\N
26-10-2021 01:50:07,-0.09,-0.47,-10.46,0,\N
26-10-2021 01:50:08,0.04,0.11,-10.04,0,\N
26-10-2021 01:50:09,-0.22,-0.05,-10.12,0,\N
26-10-2021 01:50:10,-0.21,-0.39,-10.29,0,\N
26-10-2021 01:50:11,0.07,0.17,-10.1,0,\N
26-10-2021 01:50:12,0.06,-0.28,-10.76,0,\N
26-10-2021 01:50:13,0,-0.03,-10.22,0,\N
26-10-2021 01:50:14,0.04,-0.32,-10.05,0,\N
26-10-2021 01:50:15,-0.38,0.58,-10.18,0,\N
26-10-2021 01:50:16,0.31,0.13,-10.17,0,\N
26-10-2021 01:50:17,0.13,-0.06,-10.51,0,\N
26-10-2021 01:50:18,0.21,0.09,-10.5,0,\N
26-10-2021 01:50:19,0.05,-0.08,-10.58,0,\N
26-10-2021 01:50:20,0.22,-0.04,-10.74,0,\N
26-10-2021 01:50:21,0.33,0.17,-10.25,0,\N
26-10-2021 01:50:22,0.1,0.22,-10.63,0,\N
26-10-2021 01:50:23,0,0.21,-10.78,0,\N
26-10-2021 01:50:24,-0.29,0.73,-9.22,0,\N
26-10-2021 01:50:25,-0.29,-0.49,-10.14,0,\N
26-10-2021 01:50:26,-0.17,-0.06,-10.41,0,\N
26-10-2021 01:50:27,0.26,-0.37,-10.59,0,\N
26-10-2021 01:50:28,0.05,-0.42,-10.59,0,\N
26-10-2021 01:50:29,0.09,-0.11,-10.52,0,\N
26-10-2021 01:50:30,-0.33,-0.04,-10.22,0,\N
26-10-2021 01:50:31,-0.13,-0.29,-10.01,0,\N
26-10-2021 01:50:32,-0.12,0.2,-10.33,0,\N
26-10-2021 01:50:33,0.02,0.07,-10.15,0,\N
26-10-2021 01:50:34,0.35,0.3,-10.26,0,\N
26-10-2021 01:50:35,0.19,-0.25,-10.44,0,\N
26-10-2021 01:50:36,-0.21,-0.03,-10.71,0,\N
26-10-2021 01:50:37,-0.36,-0.25,-9.95,0,\N
26-10-2021 01:50:38,0.13,-0.42,-10.5,0,\N
26-10-2021 01:50:39,0.08,0.32,-10.03,0,\N
26-10-2021 01:50:40,-0.08,0.39,-10.23,0,\N
26-10-2021 01:50:41,0.08,0.31,-10.12,0,\N
26-10-2021 01:50:42,-0.24,0.15,-9.97,0,\N
26-10-2021 01:50:43,-0.19,0.29,-10.13,0,\N
26-10-2021 01:50:44,-0.01,0.1,-10.07,0,\N
26-10-2021 01:50:45,-0.19,-0.31,-10.24,0,\N
26-10-2021 01:50:46,-0.04,-0.1,-10.48,0,\N
26-10-2021 01:50:47,0.25,-0.16,-10.92,0,\N
26-10-2021 01:50:48,0.23,-0.22,-10.83,0,\N
26-10-2021 01:50:49,0.07,0.67,-10.1,0,\N
26-10-2021 01:50:50,-0.56,0.21,-9.79,0,\N
26-10-2021 01:50:51,0.11,0.14,-10.29,0,\N
26-10-2021 01:50:52,-0.17,0.03,-10.27,0,\N
26-10-2021 01:50:53,-0.11,0.44,-10.24,0,\N
26-10-2021 01:50:54,0,0.43,-10.15,0,\N
26-10-2021 01:50:55,-0.09,-0.34,-10.21,0,\N
26-10-2021 01:50:56,-0.03,0.17,-10.17,0,\N
26-10-2021 01:50:57,0.13,0.01,-10.15,0,\N
26-10-2021 01:50:58,0.17,-0.3,-10.79,0,\N
26-10-2021 01:50:59,0.06,-0.36,-10.27,0,\N
