Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z
2021-10-26 0:05:30,0.76,-1.57,-8.28
2021-10-26 0:05:31,0.81,-1.09,-8.1
2021-10-26 0:05:32,0.24,3.32,-0.31
2021-10-26 0:05:33,0.18,2.47,-2.59
2021-10-26 0:05:34,1.12,-1.68,-8.05
2021-10-26 0:05:35,0.65,-0.82,-6.11
2021-10-26 0:05:36,-0.04,3.4,-0.15
2021-10-26 0:05:37,1,-1.46,-8.46
2021-10-26 0:05:38,0.93,-1.78,-8.55
2021-10-26 0:05:39,0.08,2.56,-1.04
2021-10-26 0:05:40,0.13,2.53,-1
2021-10-26 0:05:41,1.34,-1.15,-8.38
2021-10-26 0:05:42,1.08,0.09,-7.15
2021-10-26 0:05:43,0.44,-1.07,-8.34
2021-10-26 0:05:44,0.9,-1.37,-8.76
2021-10-26 0:05:45,0.67,-1.27,-8.08
2021-10-26 0:05:46,0.27,1.61,-4.78
2021-10-26 0:05:47,0.81,-0.85,-8.05
2021-10-26 0:05:48,1.29,-1.37,-8.54
2021-10-26 0:05:49,0.59,-1.66,-7.23
2021-10-26 0:05:50,0.13,3.43,-0.15
2021-10-26 0:05:51,-0.23,2.96,-1.18
2021-10-26 0:05:52,0.55,0.56,-6.62
2021-10-26 0:05:53,0.49,-0.75,-8.18
2021-10-26 0:05:54,0.12,3.12,-0.71
2021-10-26 0:05:55,0.19,2.27,-3.66
2021-10-26 0:05:56,0.44,-0.77,-8.09
2021-10-26 0:05:57,1.39,-1.29,-8.68
2021-10-26 0:05:58,0.7,-0.27,-5.74
2021-10-26 0:05:59,-0.06,1.65,-2.69
2021-10-26 0:06:00,0.77,-0.36,-5.78
2021-10-26 0:06:01,0.27,1.47,-2.78
2021-10-26 0:06:02,-0.32,3.22,-0.34
2021-10-26 0:06:03,0.88,-0.66,-7.54
2021-10-26 0:06:04,0.67,-0.54,-8
2021-10-26 0:06:05,0.52,-0.63,-6.17
2021-10-26 0:06:06,0.05,2.95,-0.69
2021-10-26 0:06:07,0.82,-0.33,-7.66
2021-10-26 0:06:08,-0.44,3.38,-0.3
2021-10-26 0:06:09,0.36,2.33,-1.89
2021-10-26 0:06:10,0.76,-0.19,-7.24
2021-10-26 0:06:11,-0.11,3.14,-0.96
2021-10-26 0:06:12,0.41,-1.05,-7.94
2021-10-26 0:06:13,0.21,-1.01,-8.39
2021-10-26 0:06:14,0.49,0.99,-4.09
2021-10-26 0:06:15,1.41,-1.3,-8.65
2021-10-26 0:06:16,1.41,-1.34,-8.57
2021-10-26 0:06:17,0.01,0.26,-5.28
2021-10-26 0:06:18,0.39,0.19,-5.31
2021-10-26 0:06:19,-0.07,3.33,-0.35
2021-10-26 0:06:20,0.81,0.45,-6.75
2021-10-26 0:06:21,0.4,-0.92,-8.31
2021-10-26 0:06:22,0.53,-0.87,-8.16
2021-10-26 0:06:23,1.1,-1.55,-8.84
2021-10-26 0:06:24,0.22,1.74,-2.48
2021-10-26 0:06:25,0.86,0.88,-6.15
2021-10-26 0:06:26,0.89,-0.6,-8.02
2021-10-26 0:06:27,-0.08,3.12,-0.48
2021-10-26 0:06:28,-0.19,3.01,-0.46
2021-10-26 0:06:29,0.76,1.21,-5.45
2021-10-26 0:06:30,0.52,-0.4,-7.29
2021-10-26 0:06:31,0.82,-0.83,-6.27
2021-10-26 0:06:32,0.07,2.44,-2.55
2021-10-26 0:06:33,0.47,0.93,-5.8
2021-10-26 0:06:34,0.2,2.8,-0.55
2021-10-26 0:06:35,0.82,2.33,-1.93
2021-10-26 0:06:36,0.26,2.82,-0.69
2021-10-26 0:06:37,0.16,3.13,-0.19
2021-10-26 0:06:38,0.71,-1.1,-8.12
2021-10-26 0:06:39,1.32,-1.2,-8.74
2021-10-26 0:06:40,0.69,-1,-6.73
2021-10-26 0:06:41,1.42,-1.38,-8.63
2021-10-26 0:06:42,-0.18,2.75,-1.49
2021-10-26 0:06:43,0.54,1.4,-5.18
2021-10-26 0:06:44,0.96,-1.61,-8.63
2021-10-26 0:06:45,0.12,3.39,-0.36
2021-10-26 0:06:46,0.65,1.39,-5.17
2021-10-26 0:06:47,1.31,-0.19,-7.07
2021-10-26 0:06:48,0.83,-0.03,-7.24
2021-10-26 0:06:49,0.94,-1.43,-8.92
2021-10-26 0:06:50,0.1,2.48,-1.13
2021-10-26 0:06:51,0.88,-1.19,-6.83
2021-10-26 0:06:52,0.59,-1.35,-8.16
2021-10-26 0:06:53,1.17,-1.74,-8.64
2021-10-26 0:06:54,-0.16,2.72,-1.48
2021-10-26 0:06:55,0.43,1.52,-4.53
2021-10-26 0:06:56,0.64,-1.16,-8.03
2021-10-26 0:06:57,-0.15,3.31,-0.65
2021-10-26 0:06:58,0.72,1.5,-4.52
2021-10-26 0:06:59,0.94,0.25,-6.97
2021-10-26 0:07:00,0.59,-0.93,-8.33
2021-10-26 0:07:01,1.61,-1.3,-8.33
2021-10-26 0:07:02,0.66,-1.46,-6.99
2021-10-26 0:07:03,0.24,0.4,-5.14
2021-10-26 0:07:04,-0.13,3.48,-0.3
2021-10-26 0:07:05,0.13,2.79,-1.28
2021-10-26 0:07:06,1.16,-1.45,-8.6
2021-10-26 0:07:07,-0.03,3.37,-0.16
2021-10-26 0:07:08,0.57,-1.45,-7.03
2021-10-26 0:07:09,0.45,3.47,-0.04
2021-10-26 0:07:10,1.05,-1.52,-8.84
2021-10-26 0:07:11,-0.08,3.2,-0.69
2021-10-26 0:07:12,0.74,-1.15,-7.98
2021-10-26 0:07:13,1.22,-1.23,-8.31
2021-10-26 0:07:14,0.5,2.1,-3.93
2021-10-26 0:07:15,1.1,-1.56,-8.78
2021-10-26 0:07:16,0.04,2.08,-1.68
2021-10-26 0:07:17,1.04,0.25,-7.02
2021-10-26 0:07:18,0.81,0.39,-6.72
2021-10-26 0:07:19,0.98,-1.44,-8.68
2021-10-26 0:07:20,0.84,-1.41,-6.93
2021-10-26 0:07:21,0.71,-0.98,-8.04
2021-10-26 0:07:22,0.85,0.2,-6.98
2021-10-26 0:07:23,0.32,-0.93,-8.12
2021-10-26 0:07:24,1.27,-1.48,-8.66
2021-10-26 0:07:25,0.24,-1.55,-9.22
2021-10-26 0:07:26,0.81,-1.36,-6.77
2021-10-26 0:07:27,0.52,-1.01,-8.24
2021-10-26 0:07:28,0.99,-1.75,-8.7
2021-10-26 0:07:29,0.21,-1.13,-8.36
2021-10-26 0:07:30,0.77,-1.68,-9.09
2021-10-26 0:07:31,1.15,-1.43,-8.66
2021-10-26 0:07:32,0.82,-1.35,-6.8
2021-10-26 0:07:33,0.98,0.27,-6.71
2021-10-26 0:07:34,1.32,-1.59,-8.36
2021-10-26 0:07:35,0.44,0.29,-5.23
2021-10-26 0:07:36,1.09,-1.65,-9.13
2021-10-26 0:07:37,1.2,-1.55,-7.54
2021-10-26 0:07:38,0.97,-1.42,-8.75
2021-10-26 0:07:39,0.75,-1.7,-8.24
2021-10-26 0:07:40,0.46,-0.39,-6.02
2021-10-26 0:07:41,0.86,-0.24,-7.74
2021-10-26 0:07:42,1.49,-1.75,-8.72
2021-10-26 0:07:43,0.95,-0.78,-6.34
2021-10-26 0:07:44,0.81,-1.72,-8.32
2021-10-26 0:07:45,1.18,-0.63,-6.43
2021-10-26 0:07:46,0.55,-0.37,-7.34
2021-10-26 0:07:47,0.69,1.28,-5.55
2021-10-26 0:07:48,1.4,1.22,-5.57
2021-10-26 0:07:49,0.55,-0.45,-7.68
2021-10-26 0:07:50,0.64,-2,-8.42
2021-10-26 0:07:51,0.92,-0.64,-8.17
2021-10-26 0:07:52,0.94,-1.01,-8.59
2021-10-26 0:07:53,0.12,2.25,-2.97
2021-10-26 0:07:54,0.07,3.2,-0.82
2021-10-26 0:07:55,0.54,3.32,-0.21
2021-10-26 0:07:56,0.43,1.82,-2.51
2021-10-26 0:07:57,0.01,3.11,-1.17
2021-10-26 0:07:58,0.17,3.32,-0.21
2021-10-26 0:07:59,0.24,2.08,-3.26
2021-10-26 0:08:00,0.22,1.77,-2.26
